trade_date,article_count,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,bullish_ratio,push_net_avg
2026-03-26,5,0.7,0.95,0.45,0.2179,1.0,0.0
2026-03-27,7,0.0,0.35,-0.3,0.2236,0.1429,0.0
